Date/Time,Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/02  08:10:00,,,,,,,,,,,,,,,,,269334.96839999998,0.0,1681282.167438508,0.0 
 01/02  08:20:00,,,,,,,,,,,,,,,,,269334.96839999998,0.0,1658902.328467295,0.0 
 01/02  08:30:00,,,,,,,,,,,,,,,,,265066.84617038609,0.0,1639484.5220592423,0.0 
 01/02  08:40:00,,,,,,,,,,,,,,,,,257043.89262884137,0.0,1621439.032569613,0.0 
 01/02  08:50:00,,,,,,,,,,,,,,,,,245635.22991914943,0.0,1604768.4213488615,0.0 
 01/02  09:00:00,1537255.6217237972,0.0,9795156.842962508,0.0,,,,,,,,,,,,,230839.71620542036,0.0,1589280.3710789877,0.0 
 01/02  09:10:00,,,,,,,,,,,,,,,,,300741.10699207658,0.0,1581225.500015958,0.0 
 01/02  09:20:00,,,,,,,,,,,,,,,,,282764.69235913307,0.0,1563988.8297558656,0.0 
 01/02  09:30:00,,,,,,,,,,,,,,,,,264329.39906780919,0.0,1547877.0130225023,0.0 
 01/02  09:40:00,,,,,,,,,,,,,,,,,220100.03790609574,0.0,1532497.1814271394,0.0 
 01/02  09:50:00,,,,,,,,,,,,,,,,,191047.67940000003,0.0,1517632.81559876,0.0 
 01/02  10:00:00,1499264.158182342,0.0,9246392.258094695,0.0,,,,,,,,,,,,,240281.24245722756,0.0,1503170.9182744702,0.0 
 01/02  10:10:00,,,,,,,,,,,,,,,,,212552.9917995044,0.0,1489756.5884885644,0.0 
 01/02  10:20:00,,,,,,,,,,,,,,,,,266473.84214315519,0.0,1476527.0680626434,0.0 
